Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2006;9.5;17.6;1.9;12;33;0;6.3;56.0;6.5;13.6;978.3;1018.1;3.5;0.0;9;3
2006;11.5;16.7;6.7;13;27;5;8.7;67.0;5.6;11.3;971.5;1010.7;6.8;11.4;9;2
2006;18.0;27.6;8.0;22;46;6;6.3;35.0;16.1;31.0;981.7;1020.5;3.6;0.0;9;1
2007;12.5;19.4;6.5;16;35;4;8.3;59.0;7.0;14.5;979.0;1018.4;5.2;0.0;4;3
2007;5.7;10.2;1.9;4;12;-1;7.28;78.0;2.2;4.2;979.8;1020.3;5.8;19.9;4;2
2007;-0.4;3.4;-3.5;-1;6;-5;5.33;88.0;0.78;1.6;977.8;1019.1;3.1;15.0;4;1
2007;18.1;25.8;11.4;22;42;10;11.2;55.0;10.7;20.8;975.6;1014.1;5.0;7.5;5;3
2007;15.8;22.5;9.4;20;39;8;10.3;59.0;8.5;17.2;974.0;1012.7;5.3;7.5;5;2
2007;11.5;17.8;6.0;14;31;4;7.3;57.0;7.0;13.5;974.2;1013.6;6.7;4.7;5;1
2007;23.6;30.8;15.9;28;50;15;12.4;47.0;18.6;33.0;966.5;1003.9;5.0;16.7;6;3
2007;19.2;26.3;11.1;27;52;9;9.6;45.0;14.5;26.0;971.9;1010.1;4.0;0.0;6;2
2007;13.1;20.1;6.5;19;42;6;7.4;51.0;8.9;16.9;971.0;1010.1;5.1;2.1;6;1
2007;19.9;26.3;12.6;26;52;11;11.2;52.0;13.1;23.5;970.7;1008.8;3.5;2.1;7;3
2007;23.7;31.0;17.2;31;55;16;15.4;56.0;15.0;29.4;967.7;1005.1;4.1;3.4;7;2
2007;22.4;29.4;15.7;29;56;15;15.2;59.0;12.7;25.6;964.7;1002.1;3.0;2.1;7;1
2007;20.7;29.1;11.5;26;51;10;9.5;43.0;16.8;31.7;978.7;1017.0;2.5;3.0;8;3
2007;15.7;22.8;8.0;22;46;7;8.6;51.0;10.2;18.8;976.4;1015.3;3.9;0.7;8;2
2007;21.8;28.5;14.9;27;49;14;13.3;54.0;14.0;25.9;971.5;1009.3;3.7;14.0;8;1
2007;9.0;15.1;3.2;12;30;2;7.4;66.0;4.5;9.9;985.7;1025.9;3.2;2.1;9;3
2007;14.5;21.7;6.9;18;39;5;6.9;46.0;11.0;19.8;974.6;1013.6;4.1;1.0;9;2
2007;18.9;27.3;10.3;23;47;8;8.5;44.0;15.6;30.0;975.5;1013.9;2.9;5.7;9;1
2008;10.1;17.4;2.7;14;35;1;5.9;50.0;7.6;14.7;975.3;1015.0;6.1;1.4;4;3
2008;4.3;11.3;-3.6;7;24;-6;4.29;54.0;5.7;11.0;979.6;1020.3;4.9;4.9;4;2
2008;6.2;14.2;-1.4;8;27;-4;5.03;55.0;5.4;11.8;980.7;1021.1;3.7;0.0;4;1
2008;20.7;28.2;12.4;27;51;11;10.1;45.0;16.3;29.3;973.2;1011.3;4.1;2.8;5;3
2008;16.3;22.4;9.0;21;41;7;10.0;57.0;9.3;17.5;978.3;1017.1;3.5;7.5;5;2
2008;10.1;17.4;3.1;14;35;1;6.3;53.0;7.2;14.5;976.1;1015.8;4.5;10.7;5;1
2008;21.4;28.5;14.9;26;47;14;13.2;57.0;13.8;25.9;967.1;1004.8;4.4;25.9;6;3
2008;21.3;28.7;12.4;28;53;11;8.8;38.0;17.8;29.6;973.4;1011.4;4.1;0.0;6;2
2008;18.0;25.5;10.8;23;45;9;9.0;48.0;13.0;24.0;970.6;1008.9;4.6;4.1;6;1
2008;24.0;31.1;17.0;29;52;15;14.4;53.0;17.5;32.4;970.5;1007.9;3.7;23.5;7;3
2008;23.8;30.8;17.6;29;50;16;16.3;59.0;14.4;28.4;968.1;1005.4;3.7;25.6;7;2
2008;21.7;28.8;14.4;28;51;13;13.2;55.0;14.0;26.8;969.9;1007.6;3.8;4.1;7;1
2008;19.5;27.4;11.9;24;46;11;10.8;50.0;13.1;24.5;973.2;1011.4;3.8;1.9;8;3
2008;21.1;28.8;13.2;26;50;11;11.3;48.0;14.9;27.9;976.5;1014.6;3.4;0.4;8;2
2008;21.1;27.5;14.0;25;46;13;11.1;48.0;15.2;27.4;969.6;1007.4;4.2;15.8;8;1
2008;4.9;10.3;0.1;7;21;-1;5.56;66.0;3.4;7.4;984.6;1025.3;3.5;2.2;9;3
2008;11.3;16.9;5.9;14;28;6;8.2;64.0;6.1;12.6;975.2;1014.6;4.5;22.3;9;2
2008;15.9;22.7;9.1;19;37;8;8.4;49.0;11.1;21.4;975.9;1014.7;4.4;2.1;9;1
2009;4.2;10.3;-1.3;6;22;-3;4.99;62.0;3.9;8.0;977.2;1017.8;4.8;0.8;4;2
2009;7.7;14.5;1.4;10;27;0;5.9;59.0;5.3;11.3;976.3;1016.4;6.1;6.8;4;3
2009;4.2;9.9;-0.1;3;12;-2;5.7;69.0;2.9;6.0;975.8;1016.3;5.9;2.6;4;1
2009;16.1;23.4;9.4;20;40;8;9.7;56.0;9.6;18.8;974.0;1012.7;5.4;23.4;5;2
2009;13.6;21.5;5.9;18;38;5;7.5;52.0;9.6;18.0;976.0;1015.1;5.3;6.2;5;3
2009;12.3;20.3;3.5;17;40;1;5.3;40.0;10.2;18.4;977.9;1017.4;4.5;2.9;5;1
2009;19.3;26.9;10.3;26;50;10;9.2;43.0;15.0;26.4;978.6;1017.0;4.1;0.0;6;2
2009;18.0;24.1;10.9;24;46;10;9.3;47.0;12.4;20.5;974.8;1013.3;5.2;0.0;6;3
