Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2006;17.3;23.5;11.2;21.0;40.0;10.0;9.5;50.0;11.2;18.8;953.6;1003.3;5.6;11.5;7;3
2006;16.7;21.9;11.8;21.0;42.0;10.0;12.0;63.0;8.0;15.3;959.2;1009.2;3.8;10.7;7;1
2006;17.9;24.5;12.3;21.0;39.0;10.0;9.7;50.0;12.3;21.1;963.6;1013.7;5.5;0.4;8;2
2006;17.0;22.8;11.1;21.0;41.0;10.0;9.2;50.0;11.4;19.5;965.5;1015.9;3.6;2.1;8;3
2006;15.6;20.8;10.5;20.0;40.0;8.0;9.9;58.0;8.3;15.0;960.2;1010.5;2.9;0.0;8;1
2006;9.3;14.2;5.4;11.0;22.0;5.0;8.6;75.0;3.9;8.6;956.8;1008.1;4.7;30.4;9;2
2006;9.3;15.3;4.2;10.0;23.0;2.0;6.2;55.0;6.1;11.5;965.6;1017.4;4.1;0.0;9;3
2006;19.3;26.4;12.1;21.0;41.0;10.0;5.5;27.0;18.0;28.9;969.5;1019.7;4.4;0.9;9;1
2007;2.5;6.2;-0.3;2.0;9.0;-2.0;6.52;88.0;0.92;2.1;966.6;1019.8;4.7;15.3;4;2
2007;10.4;15.9;5.1;11.0;23.0;3.0;7.8;64.0;5.3;10.1;965.9;1017.4;5.2;6.2;4;3
2007;-1.9;2.1;-5.9;-2.0;5.0;-8.0;4.78;87.0;0.78;1.5;964.8;1018.8;2.5;0.0;4;1
2007;14.1;20.2;9.2;15.0;29.0;7.0;10.2;66.0;6.5;12.9;960.8;1011.4;5.2;11.5;5;2
2007;18.0;24.4;12.2;21.0;37.0;10.0;10.5;52.0;11.2;20.7;963.6;1013.6;5.4;3.2;5;3
2007;9.0;15.2;3.6;9.0;21.0;2.0;7.1;65.0;5.0;9.9;960.3;1011.8;6.9;24.9;5;1
2007;18.0;24.2;11.8;23.0;43.0;9.0;9.1;46.0;13.2;22.4;959.8;1009.6;3.9;2.1;6;2
2007;22.2;28.9;16.5;26.0;43.0;15.0;12.1;50.0;16.3;28.4;954.4;1003.2;4.5;20.3;6;3
