Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2006;9.1;16.0;1.9;11;29;0;5.6;52.0;6.6;12.4;969.3;1017.0;4.9;0.0;9;3
2006;17.5;25.4;9.2;21;41;7;6.5;36.0;14.9;27.0;974.2;1020.8;3.2;0.7;9;1
2006;11.2;16.8;7.3;12;24;6;8.3;65.0;5.8;11.6;962.6;1009.5;7.5;14.0;9;2
2007;13.3;20.7;6.7;16;36;4;7.5;52.0;8.7;16.3;970.9;1017.9;5.3;2.2;4;3
2007;2.1;7.1;-2.3;-1;1;-5;5.72;80.0;1.8;4.3;969.9;1018.8;4.1;10.6;4;1
2007;6.7;12.1;2.1;4;11;0;7.03;71.0;3.3;6.9;972.2;1020.4;5.0;6.4;4;2
2007;14.6;21.5;8.6;17;35;7;10.2;62.0;7.4;16.3;966.7;1013.3;5.0;23.4;5;3
2007;11.0;17.5;5.0;13;30;3;7.0;57.0;7.1;14.0;965.4;1012.6;7.4;17.6;5;1
2007;15.1;21.4;9.2;18;37;7;9.8;59.0;8.2;16.1;965.2;1011.6;6.4;8.0;5;2
2007;22.7;29.4;16.8;28;48;15;13.6;54.0;16.1;27.1;958.4;1003.2;4.3;53.2;6;3
2007;11.0;17.3;5.1;16;35;4;7.6;59.0;6.4;12.1;963.1;1010.1;4.6;4.3;6;1
2007;17.6;24.2;11.1;23;45;9;10.0;51.0;11.5;20.8;963.2;1009.1;4.4;4.4;6;2
2007;18.3;24.2;12.6;23;45;11;12.7;63.0;9.2;17.9;962.6;1008.3;3.9;5.7;7;3
2007;20.1;25.4;15.4;24;42;14;17.2;75.0;6.8;15.1;956.7;1001.8;3.3;36.6;7;1
2007;21.6;27.3;16.6;27;48;15;16.4;66.0;10.3;20.5;960.9;1005.9;3.4;16.6;7;2
2007;19.5;26.9;12.1;24;47;10;10.2;49.0;14.3;26.5;971.3;1017.3;3.8;2.9;8;3
2007;19.5;25.4;13.3;25;48;12;14.0;64.0;9.5;19.0;964.0;1009.5;2.8;48.1;8;1
2007;13.4;19.7;6.2;19;40;5;8.8;59.0;7.3;14.1;968.2;1015.1;3.1;1.5;8;2
2007;8.0;13.5;3.2;10;25;2;7.0;67.0;4.2;8.7;976.9;1025.1;3.6;5.9;9;3
2007;17.5;25.4;10.1;21;44;8;8.2;45.0;13.8;26.8;967.8;1014.0;3.1;3.5;9;1
2007;14.6;21.3;7.6;17;37;5;6.3;43.0;11.8;20.2;966.5;1013.2;4.4;0.8;9;2
2008;2.6;9.1;-3.9;4;17;-7;3.98;55.0;5.1;9.7;970.6;1019.6;5.3;11.9;4;2
2008;8.9;15.3;3.3;11;26;1;5.7;52.0;6.9;13.2;966.5;1014.1;6.3;13.3;4;3
2008;4.3;10.6;-1.8;4;16;-4;4.77;57.0;4.3;8.6;972.6;1021.4;3.8;6.8;4;1
2008;15.3;21.8;8.8;20;40;7;9.8;60.0;8.4;16.1;970.4;1017.1;3.5;16.3;5;2
2008;18.5;24.7;12.5;24;47;11;10.1;48.0;13.0;22.5;965.7;1011.6;4.6;3.6;5;3
2008;9.2;15.3;3.0;13;31;1;5.9;53.0;7.2;13.3;968.4;1016.0;4.1;9.3;5;1
2008;19.0;25.7;10.7;26;50;9;8.7;42.0;14.4;24.0;965.6;1011.4;3.9;0.0;6;2
2008;20.8;27.8;13.8;29;55;12;11.4;50.0;14.4;26.7;960.4;1005.6;3.9;1.5;6;3
2008;17.0;23.6;10.3;22;45;9;9.6;53.0;10.9;20.6;962.4;1008.4;4.8;0.8;6;1
2008;23.9;30.6;17.6;30;57;17;15.5;56.0;15.2;30.0;960.3;1005.0;3.0;2.4;7;2
2008;23.4;29.8;17.4;28;47;15;14.7;55.0;15.6;28.3;963.0;1007.9;3.4;66.0;7;3
2008;20.4;26.7;14.3;26;48;13;12.7;56.0;12.2;23.0;961.7;1007.1;4.3;25.5;7;1
2008;18.7;24.9;12.2;24;45;11;11.6;56.0;10.9;21.0;967.8;1013.7;3.1;4.4;8;2
2008;17.7;23.6;12.0;22;42;10;10.5;54.0;10.5;18.6;965.4;1011.4;4.6;4.7;8;3
2008;19.8;25.7;14.2;24;42;13;12.1;55.0;12.1;22.6;961.4;1006.8;4.7;18.8;8;1
2008;8.6;13.8;3.5;11;25;3;7.6;70.0;4.1;8.6;967.4;1015.1;3.6;19.6;9;2
2008;4.6;8.7;1.0;6;18;0;5.73;68.0;2.9;5.5;976.1;1024.9;2.5;5.6;9;3
2008;14.4;20.8;8.4;17;33;7;8.8;56.0;8.7;17.6;967.2;1013.8;4.7;9.4;9;1
2009;4.2;10.2;-0.9;-1;1;-4;5.04;63.0;3.7;7.6;968.0;1016.5;6.9;4.2;4;1
2009;3.5;9.5;-1.2;4;15;-3;5.03;65.0;3.3;6.8;969.2;1017.9;5.9;5.7;4;2
2009;7.3;14.4;1.5;9;26;0;5.81;60.0;5.0;11.1;967.8;1015.7;6.8;10.8;4;3
2009;10.8;18.7;3.6;15;36;1;5.4;46.0;8.9;16.5;969.6;1017.1;4.4;6.4;5;1
2009;15.5;22.2;9.3;19;38;7;8.4;52.0;10.0;18.1;966.5;1013.0;5.5;35.6;5;2
2009;12.2;18.7;6.6;15;33;6;8.3;61.0;7.2;13.9;967.4;1014.5;5.1;75.8;5;3
2009;18.4;24.9;11.4;25;46;10;12.8;63.0;9.4;18.7;966.1;1012.0;3.2;21.5;6;1
2009;15.7;22.9;9.0;21;41;8;10.3;58.0;8.9;17.0;969.5;1016.0;3.9;2.1;6;2
2009;15.4;21.0;10.0;20;40;9;10.5;62.0;8.0;15.8;966.0;1012.3;4.1;5.3;6;3
2009;20.8;27.5;14.1;26;49;13;9.6;42.0;16.7;26.4;960.9;1006.2;3.7;5.6;7;1
2009;17.1;23.0;12.7;19;37;12;15.2;79.0;4.8;12.5;957.3;1002.9;3.6;42.3;7;2
2009;15.8;21.0;12.3;17;29;11;13.9;79.0;4.5;10.1;962.0;1008.1;4.2;79.6;7;3
2009;17.6;23.2;12.4;20;38;11;12.8;66.0;7.9;15.2;958.7;1004.4;4.4;8.5;8;1
2009;16.0;21.4;9.6;20;39;8;9.6;55.0;9.4;16.4;968.7;1015.2;3.7;2.0;8;2
2009;17.4;23.8;12.3;21;39;11;12.7;66.0;7.9;15.8;965.5;1011.5;4.5;5.5;8;3
2009;9.9;15.3;4.6;13;28;4;8.2;70.0;4.4;9.7;975.0;1022.8;3.3;27.2;9;1
2009;12.3;18.8;6.0;14;31;5;9.1;65.0;6.0;13.1;970.0;1017.2;3.2;50.2;9;2
2009;11.9;18.3;6.6;13;28;4;7.8;58.0;6.8;13.5;968.2;1015.3;4.6;4.7;9;3
2010;-1.2;3.7;-5.7;-3;1;-8;3.86;69.0;1.9;4.1;980.2;1030.3;2.9;0.0;4;1
2010;12.2;20.3;3.9;13;30;1;5.4;42.0;10.1;18.6;973.7;1021.1;5.7;1.6;4;3
2010;3.4;8.1;-1.1;2;9;-3;4.98;65.0;3.3;6.4;974.4;1023.4;4.4;4.1;4;2
2010;13.1;19.3;6.5;18;40;4;7.6;51.0;8.4;14.7;971.9;1019.1;3.7;0.0;5;1
2010;13.0;19.7;6.8;17;40;5;9.1;60.0;7.1;13.9;964.4;1011.2;4.5;24.1;5;3
2010;10.0;16.0;3.4;16;37;2;6.7;55.0;6.3;11.9;973.3;1021.0;3.6;7.3;5;2
2010;19.8;26.6;11.9;27;51;10;10.4;47.0;14.2;25.3;969.3;1015.1;3.6;0.3;6;1
2010;16.4;23.1;10.3;21;41;9;10.4;59.0;9.3;17.8;967.4;1013.7;3.4;28.6;6;3
2010;23.4;30.3;16.6;30;54;15;11.2;40.0;19.5;32.4;963.3;1008.3;4.2;0.0;6;2
2010;17.3;23.2;11.4;22;40;10;10.9;58.0;9.7;17.2;964.8;1010.8;3.3;12.2;7;1
2010;16.2;22.5;9.1;23;44;8;10.1;57.0;9.2;17.1;969.9;1016.3;2.8;6.0;7;3
2010;21.3;27.8;15.1;27;49;14;12.9;53.0;13.9;25.6;958.6;1003.7;4.1;1.4;7;2
2010;20.6;27.1;13.4;27;50;11;11.5;50.0;14.2;24.9;970.4;1016.2;2.7;0.0;8;1
2010;20.9;28.0;14.8;24;44;13;11.6;51.0;15.0;25.9;964.1;1009.5;4.6;14.8;8;3
2010;19.7;27.0;12.4;24;45;10;9.7;45.0;14.8;25.2;968.2;1014.0;3.8;1.4;8;2
2010;16.7;25.1;8.7;20;42;6;6.8;40.0;14.9;25.7;970.3;1016.8;4.4;0.0;9;1
2010;13.3;19.8;6.4;15;32;5;7.1;51.0;9.0;16.0;970.9;1018.0;4.8;3.6;9;3
2010;8.2;14.2;1.8;11;29;0;5.9;55.0;5.7;10.2;974.6;1022.8;4.3;3.5;9;2
2011;3.4;8.2;-0.8;3;11;-2;5.7;75.0;2.9;6.0;972.3;1021.1;5.8;14.7;4;1
2011;13.1;19.6;7.3;15;31;5;8.4;59.0;7.7;15.4;968.6;1015.5;4.7;9.7;4;2
2011;10.3;16.5;3.4;13;32;2;5.9;49.0;7.5;12.7;968.8;1016.2;6.1;1.4;4;3
2011;10.1;16.3;2.6;15;37;0;5.4;46.0;7.7;13.2;974.4;1022.2;4.0;2.6;5;1
2011;13.4;19.6;6.3;20;44;4;4.8;33.0;11.3;17.9;969.2;1016.2;4.5;0.0;5;2
2011;14.9;22.3;8.9;18;41;7;9.6;61.0;8.5;17.6;962.4;1008.7;5.4;11.0;5;3
2011;18.4;24.9;13.4;21;40;11;13.4;65.0;8.7;17.6;958.7;1004.2;4.4;45.5;6;1
2011;19.8;26.5;12.5;26;50;10;11.0;50.0;13.3;23.2;958.9;1004.2;4.1;11.3;6;2
2011;17.7;22.8;13.9;20;35;12;15.0;76.0;6.0;12.9;960.1;1005.7;4.2;74.0;6;3
2011;18.6;24.3;12.3;25;48;11;12.7;61.0;9.7;17.7;967.4;1013.3;3.4;4.9;7;1
2011;18.2;23.4;13.0;22;39;12;14.4;71.0;7.3;15.0;960.5;1006.1;3.8;39.0;7;2
2011;19.3;25.4;13.3;24;44;12;14.4;66.0;8.8;16.5;965.1;1010.7;3.8;23.4;7;3
2011;15.9;22.0;10.5;21;44;9;11.3;64.0;7.4;14.4;962.2;1008.3;4.3;2.9;8;1
2011;19.6;25.8;13.0;24;44;12;13.1;61.0;11.2;21.6;967.4;1013.1;3.0;22.2;8;2
2011;13.4;19.3;8.3;15;33;6;9.9;65.0;6.3;12.6;965.3;1012.0;5.1;12.5;8;3
2011;17.5;24.5;9.8;21;42;8;8.5;45.0;12.4;22.2;969.8;1016.1;4.3;0.0;9;1
2011;16.9;22.8;10.5;19;37;9;7.3;40.0;12.6;20.4;968.4;1014.7;4.2;0.0;9;2
2011;9.8;15.2;4.7;12;27;3;7.0;61.0;5.7;10.7;969.2;1016.8;5.4;6.4;9;3
2012;11.4;19.2;3.5;16;38;1;5.5;42.0;9.1;16.8;969.1;1016.4;3.9;8.2;4;3
2012;14.3;22.4;6.7;16;37;3;7.1;47.0;10.2;20.0;970.5;1017.4;3.9;0.1;4;2
2012;5.7;12.7;-0.8;4;15;-3;5.39;62.0;4.4;8.9;976.2;1024.9;4.6;4.3;4;1
2012;17.7;24.6;10.4;24;49;9;7.6;40.0;14.2;24.1;969.7;1016.0;4.0;0.0;5;3
2012;14.9;21.5;8.3;20;40;7;8.4;51.0;9.7;18.6;969.9;1016.7;4.1;9.7;5;2
2012;9.5;16.2;3.7;12;29;2;7.3;63.0;5.2;11.8;966.9;1014.4;5.6;19.2;5;1
2012;22.4;29.1;15.5;29;51;14;13.8;55.0;14.8;26.4;961.5;1006.5;2.2;52.8;6;3
