Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2006;10.6;16.8;5.5;11;27;4;8.3;67.0;5.2;10.4;960.5;1010.7;4.8;11.1;9;2
2006;9.2;17.2;1.2;11;31;-1;5.6;52.0;6.8;13.5;966.6;1017.5;3.1;0.3;9;3
2006;16.8;26.6;6.3;20;44;4;5.9;35.0;14.8;28.1;970.9;1020.7;2.7;0.0;9;1
2007;6.2;11.5;2.3;6;18;0;7.33;76.0;2.5;5.0;968.9;1020.4;4.2;16.9;4;2
2007;12.6;20.7;5.5;15;35;3;7.4;55.0;8.1;16.8;967.9;1018.2;3.9;1.6;4;3
2007;2.0;6.6;-1.7;2;10;-3;5.92;83.0;1.4;3.2;966.6;1018.8;2.7;11.8;4;1
2007;15.0;21.9;8.5;19;39;7;9.5;59.0;8.4;16.8;962.7;1012.2;4.6;11.0;5;2
2007;15.6;23.2;9.1;19;40;7;10.2;58.0;8.7;17.5;964.1;1013.7;4.3;6.8;5;3
2007;10.8;18.0;4.4;13;32;3;7.1;59.0;6.7;13.8;963.1;1013.5;5.6;15.6;5;1
2007;18.0;25.2;9.9;24;47;8;9.0;45.0;13.1;22.7;960.6;1009.6;3.5;2.5;6;2
2007;22.4;30.1;15.3;28;49;14;12.4;51.0;16.7;31.0;955.7;1003.7;4.0;37.8;6;3
2007;11.7;19.3;5.1;17;36;4;7.6;57.0;7.3;14.5;959.9;1010.0;4.0;14.0;6;1
2007;22.3;29.0;16.6;28;52;15;16.2;62.0;11.8;22.9;957.4;1005.3;3.1;17.4;7;2
2007;18.5;25.1;11.5;24;47;10;12.5;62.0;9.7;19.3;959.7;1008.4;2.7;7.1;7;3
2007;20.2;26.3;14.8;25;46;14;16.4;71.0;8.0;17.2;953.9;1002.0;2.2;13.3;7;1
2007;14.0;21.1;6.4;19;42;5;8.4;55.0;8.5;15.9;965.1;1015.0;2.7;4.0;8;2
2007;19.1;27.8;10.2;24;46;9;9.8;49.0;14.2;27.1;968.1;1017.2;2.5;5.0;8;3
2007;19.8;26.6;13.2;25;48;12;13.8;62.0;10.3;21.1;960.7;1009.3;2.7;3.5;8;1
2007;13.8;21.7;6.1;17;38;4;6.3;45.0;10.9;19.5;963.7;1013.6;3.3;0.0;9;2
2007;7.7;14.8;2.0;10;29;1;6.64;64.0;4.4;8.8;973.9;1025.4;2.7;3.6;9;3
2007;17.6;26.7;8.7;22;45;7;8.3;47.0;14.1;26.9;964.7;1013.9;2.5;4.2;9;1
2008;4.7;12.3;-2.5;6;24;-4;5.24;61.0;4.2;8.8;969.4;1021.3;2.5;2.4;4;1
2008;9.0;16.5;2.2;11;29;0;6.0;55.0;6.5;13.6;964.1;1014.9;4.6;7.3;4;3
2008;3.0;11.0;-4.2;4;19;-6;4.48;60.0;4.7;9.5;967.9;1020.1;4.1;18.4;4;2
2008;9.5;17.2;1.7;13;33;-1;5.7;51.0;7.6;14.2;965.3;1016.1;2.8;3.5;5;1
2008;18.7;26.5;11.2;23;46;9;10.1;49.0;13.3;24.6;962.8;1011.8;3.6;7.0;5;3
2008;15.7;23.0;8.5;19;39;6;9.3;56.0;9.5;18.5;967.5;1017.2;2.8;16.9;5;2
2008;17.8;25.2;10.5;23;44;9;8.9;47.0;12.7;23.3;959.8;1008.7;3.5;0.5;6;1
2008;20.7;28.3;13.8;27;50;12;12.5;55.0;13.1;24.6;957.1;1005.4;3.3;6.3;6;3
2008;19.6;27.1;10.4;27;52;9;8.3;39.0;15.9;26.4;962.7;1011.5;3.3;0.1;6;2
2008;20.3;28.0;12.6;26;48;11;12.6;57.0;12.5;24.4;959.2;1007.6;2.8;42.8;7;1
2008;23.0;30.1;15.7;28;49;14;14.4;57.0;15.5;29.9;960.0;1007.9;2.7;33.3;7;3
2008;23.6;30.6;17.1;30;54;16;15.1;55.0;15.1;29.3;957.3;1005.0;2.5;2.6;7;2
2008;20.5;27.5;13.3;24;45;12;11.0;50.0;14.6;27.1;958.6;1007.0;3.6;18.8;8;1
2008;17.8;25.2;10.7;21;40;9;11.0;57.0;10.3;19.6;962.5;1011.6;3.2;17.0;8;3
2008;19.6;26.7;11.7;24;45;10;11.0;50.0;12.9;23.2;965.2;1014.1;2.7;0.0;8;2
2008;14.7;22.2;7.9;17;37;6;8.5;53.0;9.6;18.7;964.7;1014.4;3.4;6.1;9;1
2008;4.9;9.7;0.9;7;19;0;5.66;66.0;3.2;6.3;972.9;1024.9;2.5;3.8;9;3
2008;10.5;16.9;5.2;13;29;4;8.2;66.0;5.3;10.8;964.0;1014.5;3.2;26.1;9;2
2009;3.9;10.7;-1.0;4;18;-2;5.57;69.0;2.8;6.1;965.2;1017.0;4.5;3.3;4;1
2009;4.1;10.3;-1.3;6;20;-3;5.02;62.0;3.8;7.4;966.2;1018.1;3.8;3.4;4;2
2009;7.0;14.7;1.1;8;24;-1;5.84;61.0;4.9;10.2;965.3;1016.6;4.4;8.0;4;3
2009;11.0;19.4;3.1;14;35;0;5.6;46.0;8.9;16.1;967.0;1017.5;3.5;9.2;5;1
2009;15.3;23.2;7.7;19;42;5;8.3;52.0;10.0;19.1;963.6;1013.2;4.3;7.0;5;2
2009;12.6;20.9;5.7;16;35;4;7.7;57.0;8.3;16.8;964.8;1014.9;4.5;60.1;5;3
2009;19.1;26.2;11.4;26;49;10;12.0;58.0;11.3;21.8;963.1;1011.9;2.6;4.7;6;1
2009;16.9;24.0;10.3;23;44;8;9.7;51.0;11.0;20.0;967.0;1016.5;3.7;6.1;6;2
2009;16.6;22.5;10.6;23;45;9;9.7;53.0;10.1;17.8;963.4;1012.7;3.8;0.0;6;3
2009;20.6;28.1;13.2;26;51;11;9.8;45.0;16.0;28.3;957.7;1006.1;2.9;5.5;7;1
2009;17.2;23.6;12.0;21;39;11;14.3;75.0;6.0;13.8;955.0;1003.7;2.7;60.8;7;2
2009;16.7;23.2;11.7;20;38;11;13.0;70.0;6.6;14.8;959.6;1008.7;3.2;30.1;7;3
2009;17.7;24.0;11.5;21;41;10;12.2;63.0;8.7;17.6;956.1;1004.8;3.0;3.1;8;1
2009;17.3;24.3;10.6;21;42;9;9.0;49.0;11.8;21.0;964.8;1014.1;4.1;1.6;8;2
2009;17.7;24.8;11.4;21;42;10;12.1;63.0;8.9;18.6;962.6;1011.6;3.3;9.3;8;3
2009;10.0;16.6;4.3;13;29;3;8.2;70.0;4.5;10.1;972.1;1023.0;2.9;8.5;9;1
2009;12.5;20.2;5.7;15;34;4;8.2;59.0;7.3;16.4;967.1;1017.4;2.5;4.0;9;2
2009;11.2;20.4;3.2;12;31;2;6.7;55.0;7.7;16.2;965.8;1016.3;3.1;5.3;9;3
2010;2.5;7.2;-1.3;3;11;-3;5.55;76.0;2.1;4.6;971.3;1023.7;3.6;4.3;4;2
2010;-2.8;2.2;-7.7;-4;0;-10;3.96;78.0;1.2;2.5;976.2;1030.0;2.7;5.5;4;1
2010;11.8;20.7;3.5;13;30;0;6.9;53.0;8.2;17.2;970.8;1021.4;4.0;3.1;4;3
2010;11.1;19.0;4.7;15;37;2;6.9;53.0;7.2;14.2;970.2;1020.9;3.3;5.8;5;2
2010;13.6;20.8;6.1;17;38;3;7.6;50.0;9.2;16.4;969.1;1019.3;3.4;0.0;5;1
2010;13.6;20.4;7.3;18;37;5;9.0;58.0;7.7;15.2;961.4;1011.2;3.7;36.4;5;3
2010;23.5;31.5;15.6;29;55;13;11.3;41.0;19.7;33.6;960.5;1008.4;3.8;7.9;6;2
2010;19.8;27.4;10.9;26;50;8;10.0;46.0;14.9;27.4;966.5;1015.4;2.9;3.6;6;1
2010;17.1;24.5;9.8;23;46;8;9.3;51.0;11.5;21.6;964.7;1014.0;3.3;4.5;6;3
2010;21.1;27.8;14.8;26;47;13;12.3;52.0;14.1;25.5;955.5;1003.6;3.3;4.8;7;2
2010;17.9;24.3;11.6;23;45;10;10.6;54.0;10.9;18.8;962.0;1011.0;3.3;47.2;7;1
2010;15.9;23.1;8.8;21;44;7;9.2;53.0;9.8;19.3;966.7;1016.3;3.1;1.6;7;3
2010;19.5;28.0;11.2;23;45;8;9.6;45.0;14.7;27.2;965.2;1014.1;3.0;6.4;8;2
2010;20.8;28.4;12.8;26;49;11;10.4;45.0;15.6;27.9;967.2;1016.0;2.7;0.0;8;1
2010;20.6;28.7;13.5;23;44;11;10.8;49.0;15.6;28.8;961.5;1010.0;3.2;6.2;8;3
2010;8.6;16.2;1.1;11;31;-1;5.2;48.0;7.0;12.7;971.8;1023.1;3.1;3.5;9;2
2010;15.9;25.9;7.4;19;41;5;6.6;41.0;14.1;26.0;967.5;1017.2;3.7;0.0;9;1
2010;12.8;20.4;6.9;14;32;4;6.9;51.0;8.8;16.5;968.0;1018.3;3.4;1.1;9;3
2011;12.3;19.7;6.0;13;29;3;8.5;62.0;6.8;14.2;965.7;1015.9;2.9;4.5;4;2
